INFORMATION_NEED	01-2
precision	0.280
recall	0.400
F1	0.329
prec@10	0.300
average_precision	0.378
recall_precision
0.029	0.250
0.057	0.286
0.086	0.333
0.114	0.364
0.143	0.385
0.171	0.400
0.200	0.438
0.229	0.444
0.257	0.409
0.286	0.417
0.314	0.423
0.343	0.429
0.371	0.394
0.400	0.318
interpolated_recall_precision
0.000	0.444
0.100	0.444
0.200	0.444
0.300	0.429
0.400	0.318
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	04-4
precision	0.000
recall	0.000
F1	0.000
prec@10	0.000
average_precision	0.000
recall_precision
interpolated_recall_precision
0.000	0.000
0.100	0.000
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	06-1
precision	0.160
recall	0.308
F1	0.211
prec@10	0.100
average_precision	0.284
recall_precision
0.038	1.000
0.077	0.167
0.115	0.150
0.154	0.167
0.192	0.200
0.231	0.182
0.269	0.200
0.308	0.205
interpolated_recall_precision
0.000	1.000
0.100	0.205
0.200	0.205
0.300	0.205
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	11-4
precision	0.020
recall	0.022
F1	0.021
prec@10	0.100
average_precision	0.143
recall_precision
0.022	0.143
interpolated_recall_precision
0.000	0.143
0.100	0.000
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

INFORMATION_NEED	15-4
precision	0.380
recall	0.317
F1	0.345
prec@10	0.100
average_precision	0.314
recall_precision
0.017	0.250
0.033	0.143
0.050	0.200
0.067	0.235
0.083	0.263
0.100	0.250
0.117	0.280
0.133	0.308
0.150	0.333
0.167	0.357
0.183	0.379
0.200	0.364
0.217	0.382
0.233	0.341
0.250	0.357
0.267	0.372
0.283	0.386
0.300	0.383
0.317	0.388
interpolated_recall_precision
0.000	0.388
0.100	0.388
0.200	0.388
0.300	0.388
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000

TOTAL
precision	0.168
recall	0.209
F1	0.181
prec@10	0.120
MAP	0.224
interpolated_recall_precision
0.000	0.395
0.100	0.207
0.200	0.207
0.300	0.204
0.400	0.064
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000
